模型ID,public_id,名称,厂商,任务,关联端点,数量控制,比例,比例基线尺寸,分辨率档位,自定义尺寸,输出格式,参考图输入,选项字段,布尔字段,整数字段,数值字段,文本字段,系统提示词,官方必填参数,目录未暴露的官方参数,与官方默认值差异
fal-ai/flux-2/klein/9b,flux-2-klein-9b,Black Forest Labs / Flux-2 Klein 9B,black-forest-labs,text-to-image,fal-ai/flux-2/klein/9b/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（4~8）,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2/klein/9b/edit,flux-2-klein-9b-edit,Black Forest Labs / Flux-2 Klein 9B Edit,black-forest-labs,image-to-image,fal-ai/flux-2/klein/9b,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 4 张）,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（4~8）,,,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2/klein/9b/base,flux-2-klein-9b-base,Black Forest Labs / Flux-2 Klein 9B Base,black-forest-labs,text-to-image,fal-ai/flux-2/klein/9b/base/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（4~50）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2/klein/9b/base/edit,flux-2-klein-9b-base-edit,Black Forest Labs / Flux-2 Klein 9B Base Edit,black-forest-labs,image-to-image,fal-ai/flux-2/klein/9b/base,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 4 张）,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（4~50）,guidance_scale（0~20）,negative_prompt,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2-max,flux-2-max,Black Forest Labs / Flux-2-Max,black-forest-labs,text-to-image,fal-ai/flux-2-max/edit,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,safety_tolerance：1/2/3/4/5（默认 5）,enable_safety_checker（默认 false）；sync_mode,seed,,,,prompt,,safety_tolerance 本地默认 5（官方 2）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2-max/edit,flux-2-max-edit,Black Forest Labs / Flux-2-Max Edit,black-forest-labs,image-to-image,fal-ai/flux-2-max,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,字段 image_urls（最多 1 张）,safety_tolerance：1/2/3/4/5（默认 5）,enable_safety_checker（默认 false）；sync_mode,seed,,,,prompt、image_urls,,safety_tolerance 本地默认 5（官方 2）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2-pro,flux-2-pro,Black Forest Labs / Flux-2-Pro,black-forest-labs,text-to-image,fal-ai/flux-2-pro/edit,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,safety_tolerance：1/2/3/4/5（默认 5）,enable_safety_checker（默认 false）；sync_mode,seed,,,,prompt,,safety_tolerance 本地默认 5（官方 2）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2-pro/edit,flux-2-pro-edit,Black Forest Labs / Flux-2-Pro Edit,black-forest-labs,image-to-image,fal-ai/flux-2-pro,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,字段 image_urls（最多 1 张）,safety_tolerance：1/2/3/4/5（默认 5）,enable_safety_checker（默认 false）；sync_mode,seed,,,,prompt、image_urls,,safety_tolerance 本地默认 5（官方 2）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-2/turbo,flux-2-turbo,Black Forest Labs / Flux-2 Turbo,black-forest-labs,text-to-image,fal-ai/flux-2/turbo/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,,enable_safety_checker（默认 false）；sync_mode；enable_prompt_expansion（默认 true）,seed,guidance_scale（0~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）；enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/flux-2/turbo/edit,flux-2-turbo-edit,Black Forest Labs / Flux-2 Turbo Edit,black-forest-labs,image-to-image,fal-ai/flux-2/turbo,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls（最多 4 张）,,enable_safety_checker（默认 false）；sync_mode；enable_prompt_expansion（默认 true）,seed,guidance_scale（0~20）,,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）；enable_prompt_expansion 本地默认 true（官方 false）
fal-ai/flux/dev,flux-dev,Black Forest Labs / Flux Dev,black-forest-labs,text-to-image,fal-ai/flux/dev/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux/dev/image-to-image,flux-dev-image-to-image,Black Forest Labs / Flux Dev Edit,black-forest-labs,image-to-image,fal-ai/flux/dev,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（10~50）,guidance_scale（1~20）,,,image_url、prompt,strength(number(0.01~1，默认0.95)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux/krea,flux-krea,Black Forest Labs / Flux Krea,black-forest-labs,text-to-image,fal-ai/flux/krea/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux/krea/image-to-image,flux-krea-image-to-image,Black Forest Labs / Flux Krea Edit,black-forest-labs,image-to-image,fal-ai/flux/krea,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（10~50）,guidance_scale（1~20）,,,image_url、prompt,strength(number(0.01~1，默认0.95)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux-pro/kontext,flux-pro-kontext,Black Forest Labs / Flux-Pro Kontext Edit,black-forest-labs,image-to-image,fal-ai/flux-pro/kontext/text-to-image,1~4 张（字段 num_images）,字段 aspect_ratio；21:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:21；默认 1:1,,,,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,safety_tolerance：1/2/3/4/5/6（默认 6）,sync_mode；enhance_prompt（默认 true）,seed,,,,prompt、image_url,guidance_scale(number(1~20，默认3.5)),safety_tolerance 本地默认 6（官方 2）；enhance_prompt 本地默认 true（官方 false）
fal-ai/flux-pro/kontext/max,flux-pro-kontext-max,Black Forest Labs / Flux-Pro Kontext Max Edit,black-forest-labs,image-to-image,fal-ai/flux-pro/kontext/max/text-to-image,1~4 张（字段 num_images）,字段 aspect_ratio；21:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:21；默认 1:1,,,,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,safety_tolerance：1/2/3/4/5/6（默认 6）,sync_mode；enhance_prompt（默认 true）,seed,,,,prompt、image_url,guidance_scale(number(1~20，默认3.5)),safety_tolerance 本地默认 6（官方 2）；enhance_prompt 本地默认 true（官方 false）
fal-ai/flux-pro/kontext/max/text-to-image,flux-pro-kontext-max-text-to-image,Black Forest Labs / Flux-Pro Kontext Max,black-forest-labs,text-to-image,fal-ai/flux-pro/kontext/max,1~4 张（字段 num_images）,字段 aspect_ratio；21:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:21；默认 1:1,,,,字段 output_format；jpeg、png；默认 jpeg,,safety_tolerance：1/2/3/4/5/6（默认 6）,sync_mode；enhance_prompt（默认 true）,seed,,,,prompt,guidance_scale(number(1~20，默认3.5)),safety_tolerance 本地默认 6（官方 2）；enhance_prompt 本地默认 true（官方 false）
fal-ai/flux-pro/kontext/text-to-image,flux-pro-kontext-text-to-image,Black Forest Labs / Flux-Pro Kontext,black-forest-labs,text-to-image,fal-ai/flux-pro/kontext,1~4 张（字段 num_images）,字段 aspect_ratio；21:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:21；默认 1:1,,,,字段 output_format；jpeg、png；默认 jpeg,,safety_tolerance：1/2/3/4/5/6（默认 6）,sync_mode；enhance_prompt（默认 true）,seed,,,,prompt,guidance_scale(number(1~20，默认3.5)),safety_tolerance 本地默认 6（官方 2）；enhance_prompt 本地默认 true（官方 false）
fal-ai/flux-pro/v1.1,flux-pro-v1.1,Black Forest Labs / Flux-Pro V1.1,black-forest-labs,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,safety_tolerance：1/2/3/4/5/6（默认 6）,enhance_prompt（默认 true）；sync_mode,seed,,,,prompt,,safety_tolerance 本地默认 6（官方 2）；enhance_prompt 本地默认 true（官方 false）
fal-ai/flux-pro/v1.1-ultra,flux-pro-v1.1-ultra,Black Forest Labs / Flux-Pro V1.1-Ultra,black-forest-labs,text-to-image,,1~4 张（字段 num_images）,16:9,,,,字段 output_format；jpeg、png；默认 jpeg,,safety_tolerance：1/2/3/4/5/6（默认 6）,enhance_prompt（默认 true）；raw（默认 false）；sync_mode,seed,image_prompt_strength（0~1）,,,prompt,image_url(null|string),safety_tolerance 本地默认 6（官方 2）；enhance_prompt 本地默认 true（官方 false）
fal-ai/flux-pro/v1.1-ultra-finetuned,flux-pro-v1.1-ultra-finetuned,Black Forest Labs / Flux-Pro V1.1-Ultra-Finetuned,black-forest-labs,text-to-image,,1~4 张（字段 num_images）,16:9,,,,字段 output_format；jpeg、png；默认 jpeg,,safety_tolerance：1/2/3/4/5/6（默认 6）,enhance_prompt（默认 true）；raw（默认 false）；sync_mode,seed,finetune_strength（0~2）,finetune_id,,prompt、finetune_id、finetune_strength,image_prompt_strength(number(0~1，默认0.1))；image_url(null|string),safety_tolerance 本地默认 6（官方 2）；enhance_prompt 本地默认 true（官方 false）
fal-ai/flux/schnell,flux-schnell,Black Forest Labs / Flux Schnell,black-forest-labs,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~12）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux/srpo,flux-srpo,Black Forest Labs / Flux Srpo,black-forest-labs,text-to-image,fal-ai/flux/srpo/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/flux/srpo/image-to-image,flux-srpo-image-to-image,Black Forest Labs / Flux SRPO Edit,black-forest-labs,image-to-image,fal-ai/flux/srpo,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,acceleration：none/regular/high（默认 none）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（10~50）,guidance_scale（1~20）,,,image_url、prompt,strength(number(0.01~1，默认0.95)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/boogu-image,boogu-image,Boogu / Boogu Image,boogu,text-to-image,fal-ai/boogu-image/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（20~50）,guidance_scale（1~8）,negative_prompt,,prompt,cfg_range_end(number(0~1，默认1))；cfg_range_start(number(0~1，默认0)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/boogu-image/edit,boogu-image-edit,Boogu / Boogu Image Edit,boogu,image-to-image,fal-ai/boogu-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,字段 image_url（最多 1 张）,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（20~50）,guidance_scale（1~8）；image_guidance_scale（1~8）,negative_prompt,,prompt、image_url,cfg_range_end(number(0~1，默认1))；cfg_range_start(number(0~1，默认0)),enable_safety_checker 本地默认 false（官方 true）
bria/fibo/generate,bria-fibo-generate,Bria AI / Fibo Generate,bria,text-to-image,,1 张（不下发数量字段）,字段 aspect_ratio；1:1、2:3、3:2、3:4、4:3、4:5、5:4、9:16、16:9；默认 1:1,,字段 resolution；1MP、4MP；默认 1MP,,,,,sync_mode,seed；steps_num（20~50）,,negative_prompt,,,image_url(null|string)；structured_prompt(null|object),
bria/fibo-lite/generate,bria-fibo-lite-generate,Bria AI / Fibo Lite Generate,bria,text-to-image,,1 张（不下发数量字段）,字段 aspect_ratio；1:1、2:3、3:2、3:4、4:3、4:5、5:4、9:16、16:9；默认 1:1,,,,,,,sync_mode,seed,,,,,image_url(null|string)；structured_prompt(null|object),
fal-ai/bria/text-to-image/base,bria-text-to-image-base,Bria AI / Base,bria,text-to-image,,1~4 张（字段 num_images）,字段 aspect_ratio；1:1、2:3、3:2、3:4、4:3、4:5、5:4、9:16、16:9；默认 1:1,,,,,,medium：photography/art,sync_mode；prompt_enhancement（默认 false）,seed（0~2147483647）；num_inference_steps（20~50）,guidance_scale（0~20）,negative_prompt,,prompt,guidance(array(默认[])),
fal-ai/bria/text-to-image/hd,bria-text-to-image-hd,Bria AI / HD,bria,text-to-image,,1~4 张（字段 num_images）,字段 aspect_ratio；1:1、2:3、3:2、3:4、4:3、4:5、5:4、9:16、16:9；默认 1:1,,,,,,medium：photography/art,sync_mode；prompt_enhancement（默认 false）,seed（0~2147483647）；num_inference_steps（20~50）,guidance_scale（0~20）,negative_prompt,,prompt,guidance(array(默认[])),
fal-ai/bytedance/seedream/v4/text-to-image,bytedance-seedream-v4,ByteDance / Seedream V4,bytedance,text-to-image,fal-ai/bytedance/seedream/v4/edit,1~6 张（字段 num_images）,,,,字段 image_size；宽 256~4096，高 256~4096，≤16.7772MP,,,enhance_prompt_mode：standard/fast（默认 standard）,sync_mode；enable_safety_checker（默认 false）,seed,,,,prompt,max_images(integer(1~6，默认1)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/bytedance/seedream/v4/edit,bytedance-seedream-v4/edit,ByteDance / Seedream V4 Edit,bytedance,image-to-image,fal-ai/bytedance/seedream/v4/text-to-image,1~6 张（字段 num_images）,,,,字段 image_size；宽 256~4096，高 256~4096，≤16.7772MP,,字段 image_urls（最多 10 张）,enhance_prompt_mode：standard/fast（默认 standard）,sync_mode；enable_safety_checker（默认 false）,seed,,,,prompt、image_urls,max_images(integer(1~6，默认1)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/bytedance/seedream/v4.5/text-to-image,bytedance-seedream-v4.5,ByteDance / Seedream V4.5,bytedance,text-to-image,fal-ai/bytedance/seedream/v4.5/edit,1~6 张（字段 num_images）,,,,字段 image_size；宽 256~4096，高 256~4096，≤16.7772MP,,,,enable_safety_checker（默认 false）,seed,,,,prompt,max_images(integer(1~6，默认1)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/bytedance/seedream/v4.5/edit,bytedance-seedream-v4.5/edit,ByteDance / Seedream V4.5 Edit,bytedance,image-to-image,fal-ai/bytedance/seedream/v4.5/text-to-image,1~6 张（字段 num_images）,,,,字段 image_size；宽 256~4096，高 256~4096，≤16.7772MP,,字段 image_urls（最多 10 张）,,enable_safety_checker（默认 false）,seed,,,,prompt、image_urls,max_images(integer(1~6，默认1)),enable_safety_checker 本地默认 false（官方 true）
bytedance/seedream/v5/lite/text-to-image,bytedance-seedream-v5-lite,ByteDance / Seedream V5 Lite,bytedance,text-to-image,bytedance/seedream/v5/lite/edit,1~6 张（字段 num_images）,,,,字段 image_size；≤16.7772MP,,,,enable_safety_checker（默认 false）,,,,,prompt,max_images(integer(1~6，默认1))；return_byteplus_urls(boolean(默认False)),enable_safety_checker 本地默认 false（官方 true）
bytedance/seedream/v5/lite/edit,bytedance-seedream-v5-lite/edit,ByteDance / Seedream V5 Lite Edit,bytedance,image-to-image,bytedance/seedream/v5/lite/text-to-image,1~6 张（字段 num_images）,,,,字段 image_size；≤16.7772MP,,字段 image_urls（最多 10 张）,,enable_safety_checker（默认 false）,,,,,prompt、image_urls,max_images(integer(1~6，默认1)),enable_safety_checker 本地默认 false（官方 true）
bytedance/seedream/v5/pro/text-to-image,bytedance-seedream-v5-pro,ByteDance / Seedream V5 Pro,bytedance,text-to-image,bytedance/seedream/v5/pro/edit,1~6 张（字段 num_images）,,,,字段 image_size；≤4.1943MP,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）,,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
bytedance/seedream/v5/pro/edit,bytedance-seedream-v5-pro/edit,ByteDance / Seedream V5 Pro Edit,bytedance,image-to-image,bytedance/seedream/v5/pro/text-to-image,1~6 张（字段 num_images）,,,,字段 image_size；≤4.1943MP,字段 output_format；jpeg、png；默认 jpeg,字段 image_urls（最多 10 张）,,enable_safety_checker（默认 false）,,,,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/janus,deepseek-janus-pro,DeepSeek / Janus Pro,deepseek,text-to-image,,1~16 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,,,enable_safety_checker（默认 false）,seed,temperature（0.1~2）；cfg_weight（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/bitdance,bitdance,Other / Bitdance,other,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（10~100）,guidance_scale（1~15）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/nucleus-image,nucleus-image,Other / Nucleus Image,other,text-to-image,,1~2 张（字段 num_images）,字段 aspect_ratio；1:1、16:9、9:16、4:3、3:4、3:2、2:3；默认 1:1,1:1=1024x1024；16:9=1024x576；9:16=576x1024；4:3=1024x768；3:4=768x1024；3:2=1024x683；2:3=683x1024,,,字段 output_format；jpeg、png；默认 png,,,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~100）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/ovis-image,ovis-image,Other / Ovis Image,other,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,acceleration：none/regular/high（默认 regular）,enable_safety_checker（默认 false）；sync_mode,seed；num_inference_steps（1~50）,guidance_scale（1~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/dreamshaper,dreamshaper,Other / Dreamshaper,other,text-to-image,,1~8 张（字段 num_images）,,,,字段 image_size；宽 256~1024，高 256~1024，≤1.04858MP,,,format：jpeg/png（默认 jpeg）；safety_checker_version：v1/v2（默认 v1）,enable_safety_checker（默认 false）；sync_mode；expand_prompt,seed；num_inference_steps（1~70）,guidance_scale（0~20）,negative_prompt,,prompt,embeddings(array(默认[]))；loras(array(默认[]))；request_id(string(默认)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/nano-banana-2,nano-banana-2,Google / Nano Banana 2,google,text-to-image,fal-ai/nano-banana-2/edit,1~4 张（字段 num_images）,字段 aspect_ratio；auto、21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16、4:1、1:4、8:1、1:8；默认 auto,,字段 resolution；0.5K、1K、2K、4K；默认 1K,,字段 output_format；jpeg、png、webp；默认 png,,safety_tolerance：1/2/3/4/5/6（默认 6）；thinking_level：minimal/high,sync_mode；limit_generations；enable_web_search,seed,,,支持,prompt,system_prompt(string(默认)),safety_tolerance 本地默认 6（官方 4）
fal-ai/nano-banana-2/edit,nano-banana-2/edit,Google / Nano Banana 2 Edit,google,image-to-image,fal-ai/nano-banana-2,1~4 张（字段 num_images）,字段 aspect_ratio；auto、21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16、4:1、1:4、8:1、1:8；默认 auto,,字段 resolution；0.5K、1K、2K、4K；默认 1K,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls,safety_tolerance：1/2/3/4/5/6（默认 6）；thinking_level：minimal/high,sync_mode；limit_generations；enable_web_search,seed,,,支持,prompt,audio_url(null|string)；pdf_url(null|string)；system_prompt(string(默认))；video_url(null|string),safety_tolerance 本地默认 6（官方 4）
google/nano-banana-2-lite,nano-banana-2-lite,Google / Nano Banana 2 Lite,google,text-to-image,,1~4 张（字段 num_images）,字段 aspect_ratio；auto、21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16、4:1、1:4、8:1、1:8；默认 auto,,,,字段 output_format；jpeg、png、webp；默认 png,,safety_tolerance：1/2/3/4/5/6（默认 6）；thinking_level：minimal/high,sync_mode；limit_generations,seed,,,支持,prompt,system_prompt(string(默认)),safety_tolerance 本地默认 6（官方 4）
fal-ai/nano-banana-pro,nano-banana-pro,Google / Nano Banana Pro,google,text-to-image,fal-ai/nano-banana-pro/edit,1~4 张（字段 num_images）,字段 aspect_ratio；auto、21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16；默认 1:1,,字段 resolution；1K、2K、4K；默认 1K,,字段 output_format；jpeg、png、webp；默认 png,,safety_tolerance：1/2/3/4/5/6（默认 6）,sync_mode；limit_generations；enable_web_search,seed,,,支持,prompt,system_prompt(string(默认)),safety_tolerance 本地默认 6（官方 4）
fal-ai/nano-banana-pro/edit,nano-banana-pro/edit,Google / Nano Banana Pro Edit,google,image-to-image,fal-ai/nano-banana-pro,1~4 张（字段 num_images）,字段 aspect_ratio；auto、21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16；默认 auto,,字段 resolution；1K、2K、4K；默认 1K,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls,safety_tolerance：1/2/3/4/5/6（默认 6）,sync_mode；limit_generations；enable_web_search,seed,,,支持,prompt、image_urls,system_prompt(string(默认)),safety_tolerance 本地默认 6（官方 4）
fal-ai/nano-banana,nano-banana,Google / Nano Banana,google,text-to-image,fal-ai/nano-banana/edit,1~4 张（字段 num_images）,字段 aspect_ratio；21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16；默认 1:1,,,,字段 output_format；jpeg、png、webp；默认 png,,safety_tolerance：1/2/3/4/5/6（默认 6）,sync_mode；limit_generations,seed,,,,prompt,,safety_tolerance 本地默认 6（官方 4）
fal-ai/nano-banana/edit,nano-banana/edit,Google / Nano Banana Edit,google,image-to-image,fal-ai/nano-banana,1~4 张（字段 num_images）,字段 aspect_ratio；auto、21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16；默认 auto,,,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls,safety_tolerance：1/2/3/4/5/6（默认 6）,sync_mode；limit_generations,seed,,,,prompt、image_urls,,safety_tolerance 本地默认 6（官方 4）
google/nano-banana-lite,nano-banana-lite,Google / Nano Banana Lite,google,text-to-image,google/nano-banana-lite/edit,1~4 张（字段 num_images）,字段 aspect_ratio；auto、21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16、4:1、1:4、8:1、1:8；默认 auto,,,,字段 output_format；jpeg、png、webp；默认 png,,safety_tolerance：1/2/3/4/5/6（默认 6）；thinking_level：minimal/high,sync_mode；limit_generations,seed,,,支持,prompt,system_prompt(string(默认)),safety_tolerance 本地默认 6（官方 4）
google/nano-banana-lite/edit,nano-banana-lite/edit,Google / Nano Banana Lite Edit,google,image-to-image,google/nano-banana-lite,1~4 张（字段 num_images）,字段 aspect_ratio；auto、21:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16、4:1、1:4、8:1、1:8；默认 auto,,,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls,safety_tolerance：1/2/3/4/5/6（默认 6）；thinking_level：minimal/high,sync_mode；limit_generations,seed,,,支持,prompt,system_prompt(string(默认)),safety_tolerance 本地默认 6（官方 4）
